iter	RMSE
0	69778.02015
1	63832.95528
2	58590.09821
3	54121.03295
4	50297.12301
5	47177.078
6	44205.80745
7	41713.08895
8	39263.98992
9	37597.33661
10	35234.94082
11	33641.57622
12	32340.38466
13	31080.68029
14	29929.48866
15	29191.59782
16	28497.48647
17	27868.79751
18	27324.33537
19	26577.74077
20	25985.3471
21	25333.17876
22	25130.0478
23	24607.29305
24	24194.54205
25	23519.11711
26	23147.96166
27	22697.68056
28	22396.99065
29	22052.88653
30	21640.11244
31	21372.10256
32	21158.19634
33	20881.21246
34	20651.66552
35	20515.53317
36	20315.44809
37	20078.0882
38	19797.95838
39	19662.38754
40	19397.80582
41	19209.83106
42	19082.41237
43	18847.2725
44	18686.00955
45	18530.98534
46	18347.66517
47	18275.99894
48	18098.71692
49	17968.13278
50	17743.97228
51	17668.81534
52	17616.89488
53	17470.70674
54	17344.9685
55	17303.43474
56	17183.87127
57	17078.46593
58	16929.96749
59	16862.34576
60	16804.34874
61	16572.9459
62	16529.12404
63	16490.02647
64	16373.68251
65	16323.26619
66	16146.20087
67	15997.77665
68	15905.73747
69	15744.21369
70	15692.86176
71	15546.18822
72	15391.84018
73	15215.81512
74	15138.66643
75	15096.79575
76	14994.24485
77	14904.14342
78	14743.59037
79	14618.26534
80	14503.72019
81	14390.92729
82	14245.30437
83	14155.31129
84	14025.16249
85	13930.47421
86	13814.65065
87	13684.98635
88	13602.17795
89	13588.2972
90	13522.51243
91	13432.34282
92	13329.11372
93	13237.29697
94	13141.43767
95	13037.09158
96	12896.87112
97	12810.79809
98	12755.10929
99	12705.65983
100	12646.025
101	12618.90054
102	12556.44877
103	12507.24882
104	12389.74414
105	12336.24394
106	12197.37759
107	12132.76787
108	12076.41935
109	11990.9659
110	11890.90795
111	11820.47105
112	11759.97676
113	11751.17048
114	11712.66349
115	11640.63082
116	11596.88823
117	11510.55101
118	11443.72586
119	11367.54083
120	11337.94191
121	11289.40904
122	11251.02767
123	11208.72953
124	11146.29838
125	11070.87163
126	10998.40687
127	10896.56947
128	10838.3822
129	10811.12911
130	10782.55071
131	10688.91272
132	10627.82715
133	10576.95814
134	10500.03652
135	10482.85929
136	10409.44107
137	10379.45615
138	10332.34556
139	10274.91703
140	10206.53105
141	10180.21714
142	10080.7367
143	10032.11679
144	9985.096597
145	9929.454949
146	9905.096777
147	9859.713681
148	9796.841747
149	9761.31831
150	9714.373286
151	9681.878541
152	9651.778995
153	9631.852338
154	9559.208006
155	9492.218672
156	9429.205412
157	9422.378434
158	9364.226957
159	9318.193606
160	9273.580232
161	9228.068717
162	9171.841367
163	9113.182242
164	9053.35346
165	9017.127008
166	9007.672884
167	8962.527104
168	8915.248235
169	8909.925995
170	8859.571943
171	8817.076943
172	8777.946221
173	8742.956804
174	8725.56394
175	8709.835945
176	8658.217336
177	8629.805268
178	8592.332508
179	8550.317494
180	8499.382569
181	8460.862314
182	8406.865087
183	8374.104284
184	8339.856416
185	8297.739913
186	8242.653714
187	8194.19229
188	8163.324479
189	8114.587845
190	8093.639136
191	8058.305498
192	8021.647043
193	7993.390733
194	7967.989264
195	7940.125258
196	7888.491653
197	7861.677406
198	7857.759383
199	7820.346123
