iter	Passed	Remaining
0	2	478
1	4	438
2	6	416
3	8	405
4	10	396
5	12	390
6	13	384
7	15	380
8	17	377
9	19	377
10	21	376
11	23	373
12	25	371
13	27	369
14	29	367
15	31	365
16	33	364
17	35	363
18	38	362
19	40	360
20	42	359
21	44	358
22	46	358
23	48	357
24	50	356
25	53	355
26	55	355
27	57	353
28	59	351
29	62	352
30	64	352
31	66	351
32	69	350
33	71	348
34	73	346
35	75	344
36	77	343
37	80	341
38	82	340
39	84	339
40	87	338
41	89	336
42	91	334
43	93	332
44	96	331
45	98	329
46	100	327
47	102	326
48	105	323
49	107	321
50	109	319
51	111	317
52	112	312
53	115	311
54	117	308
55	119	307
56	121	305
57	123	303
58	126	301
59	128	299
60	130	297
61	132	295
62	134	293
63	137	291
64	139	289
65	141	287
66	143	285
67	146	283
68	148	281
69	150	279
70	153	278
71	155	275
72	157	273
73	159	272
74	162	270
75	164	268
76	166	266
77	168	264
78	171	261
79	173	259
80	175	258
81	177	256
82	180	253
83	182	252
84	184	250
85	187	247
86	189	245
87	191	243
88	193	241
89	195	239
90	198	237
91	200	235
92	202	232
93	204	230
94	207	228
95	209	227
96	211	224
97	214	222
98	216	220
99	219	219
100	221	217
101	223	214
102	225	212
103	227	210
104	230	208
105	232	206
106	235	204
107	237	202
108	239	200
109	242	198
110	244	196
111	246	194
112	249	191
113	251	189
114	253	187
115	255	185
116	257	182
117	260	180
118	262	178
119	264	176
120	267	174
121	269	172
122	271	170
123	273	167
124	276	165
125	278	163
126	280	161
127	282	159
128	285	156
129	287	154
130	289	152
131	292	150
132	294	148
133	296	145
134	298	143
135	300	141
136	303	139
137	305	137
138	308	135
139	310	133
140	313	131
141	315	128
142	317	126
143	320	124
144	322	122
145	324	119
146	326	117
147	328	115
148	331	113
149	333	111
150	336	109
151	338	106
152	341	104
153	343	102
154	345	100
155	347	98
156	350	95
157	352	93
158	354	91
159	356	89
160	359	86
161	361	84
162	363	82
163	366	80
164	368	78
165	370	75
166	372	73
167	374	71
168	376	69
169	378	66
170	381	64
171	384	62
172	387	60
173	389	58
174	391	55
175	393	53
176	396	51
177	398	49
178	400	47
179	402	44
180	405	42
181	407	40
182	409	38
183	411	35
184	413	33
185	416	31
186	418	29
187	420	26
188	423	24
189	425	22
190	427	20
191	429	17
192	432	15
193	434	13
194	436	11
195	438	8
196	440	6
197	443	4
198	445	2
199	447	0
