iter	RMSE
0	0.3845369767
1	0.3733793425
2	0.3621274051
3	0.35241315
4	0.3421963783
5	0.3318152729
6	0.32331447
7	0.3138542038
8	0.3058123128
9	0.2976586238
10	0.2901320671
11	0.2827656346
12	0.2753705119
13	0.2686381912
14	0.2627786621
15	0.2568281362
16	0.2506943413
17	0.245340838
18	0.2396146584
19	0.2348005241
20	0.2303367604
21	0.2258292348
22	0.2213502024
23	0.2169776869
24	0.213081182
25	0.2094743212
26	0.2059199425
27	0.2025482283
28	0.1992112062
29	0.1959007632
30	0.1932894608
31	0.1903485391
32	0.1874516131
33	0.1848354432
34	0.1823826197
35	0.1800763892
36	0.1780368866
37	0.1759583113
38	0.1740165887
39	0.1721011547
40	0.1701171565
41	0.1681019531
42	0.1662980709
43	0.164696016
44	0.1631823879
45	0.1616980838
46	0.1599973425
47	0.1586643632
48	0.1574330251
49	0.1560685982
50	0.1548297998
51	0.1537296757
52	0.15270664
53	0.1514203108
54	0.1503945623
55	0.1495247465
56	0.1484972379
57	0.1476816153
58	0.1469673828
59	0.1458700872
60	0.1450386414
61	0.1442371376
62	0.1435134937
63	0.1426293135
64	0.1419415664
65	0.1412389656
66	0.1404837191
67	0.1395463821
68	0.1388309302
69	0.1382734154
70	0.1377048804
71	0.1370854984
72	0.136577935
73	0.1361345231
74	0.1353311374
75	0.1348256883
76	0.1343062228
77	0.1339241115
78	0.1335781423
79	0.1329177694
80	0.1324654773
81	0.131894039
82	0.1313182862
83	0.1306324407
84	0.1300465659
85	0.1295659591
86	0.129243657
87	0.1288480415
88	0.1283901467
89	0.127787922
90	0.1272094826
91	0.1266390121
92	0.126246334
93	0.1257998625
94	0.1253819429
95	0.1248129573
96	0.1241268238
97	0.1237585479
98	0.1234414759
99	0.1230277374
100	0.1226765037
101	0.122439478
102	0.1219388369
103	0.1213722437
104	0.1210587597
105	0.1206757347
106	0.1202469536
107	0.1200144529
108	0.1196706433
109	0.1192990834
110	0.1192486268
111	0.1189685426
112	0.1189009457
113	0.1185025711
114	0.1181933315
115	0.1179196609
116	0.1177167503
117	0.1174871158
118	0.1171428327
119	0.1168625639
120	0.1165338383
121	0.1162412126
122	0.1161244935
123	0.1158679603
124	0.1155330835
125	0.1153475454
126	0.115135399
127	0.1150137705
128	0.1147853365
129	0.1144851699
130	0.114267006
131	0.1139494997
132	0.1137986547
133	0.1135893292
134	0.1132996456
135	0.1129630098
136	0.112736452
137	0.1123591692
138	0.1120988231
139	0.1119622188
140	0.1116621769
141	0.1113997101
142	0.1111741101
143	0.1108460759
144	0.1106118324
145	0.1104354341
146	0.1102203205
147	0.1100797785
148	0.1098228173
149	0.1095359556
150	0.1093985586
151	0.1093391808
152	0.1092134101
153	0.1089079083
154	0.1086393582
155	0.1084838824
156	0.1082434557
157	0.108050351
158	0.1078850084
159	0.1077305861
160	0.1076665996
161	0.1074050592
162	0.1071772815
163	0.1070009403
164	0.1067398134
165	0.106479679
166	0.1063870232
167	0.1061793103
168	0.1059681701
169	0.105722016
170	0.1056290114
171	0.1053580985
172	0.1052112174
173	0.1051346942
174	0.1048970948
175	0.1047377015
176	0.1045454492
177	0.1044670983
178	0.1042438298
179	0.104015409
180	0.1038630516
181	0.1037621412
182	0.1036957838
183	0.1036347507
184	0.1033360966
185	0.1032923011
186	0.103103864
187	0.102897175
188	0.1028383914
189	0.102563399
190	0.1023896288
191	0.1022132831
192	0.1020964391
193	0.1019179574
194	0.1017713609
195	0.1015439647
196	0.1013659646
197	0.1012640521
198	0.1010882832
199	0.1009271379
200	0.1007558583
201	0.1005711096
202	0.1004582503
203	0.1003333975
204	0.1001791223
205	0.1000845748
206	0.09999003285
207	0.09983328784
208	0.09970697242
209	0.09959026007
210	0.09946519436
211	0.09929442296
212	0.09908533544
213	0.09891819541
214	0.09882724363
215	0.09871700338
216	0.09856961547
217	0.09841588414
218	0.09836666314
219	0.09823883593
220	0.09799896446
221	0.09784582554
222	0.09773027959
223	0.0975703216
224	0.09739761064
225	0.09724920193
226	0.09711007191
227	0.09697523899
228	0.09688660787
229	0.09681189125
230	0.0966766668
231	0.09657328912
232	0.09637975605
233	0.09622550919
234	0.09607833288
235	0.09600083141
236	0.09592736067
237	0.09582342859
238	0.09578212379
239	0.09561950341
240	0.09554902598
241	0.09540930991
242	0.09526892849
243	0.0951510044
244	0.09497958924
245	0.09482648451
246	0.09471385063
247	0.09467638543
248	0.09457211755
249	0.0945023166
250	0.09437611045
251	0.0943047755
252	0.09423539978
253	0.09410035535
254	0.09398626172
255	0.093928147
256	0.09377343353
257	0.09366845059
258	0.09363385562
259	0.09353380353
260	0.09343670886
261	0.09329974543
262	0.09326564466
263	0.09319490269
264	0.09299709247
265	0.09289849049
266	0.09280893056
267	0.09265500383
268	0.0925738151
269	0.09243269941
270	0.09240600033
271	0.09231956851
272	0.09222101444
273	0.09205754106
274	0.09197009057
275	0.09184029629
276	0.09175682339
277	0.09162659761
278	0.09159839003
279	0.09147133115
280	0.09132714883
281	0.09119489368
282	0.09108640091
283	0.0909488871
284	0.09081339348
285	0.09064000233
286	0.0905091577
287	0.09042984801
288	0.09038932343
289	0.0902796288
290	0.0901135445
291	0.09004378953
292	0.08995039806
293	0.0899299531
294	0.08981888397
295	0.08979634001
296	0.08971920835
297	0.08963942853
298	0.0894997093
299	0.08938858971
300	0.08936525481
301	0.08924338168
302	0.08920946356
303	0.08913288734
304	0.0889956082
305	0.08889903853
306	0.08880348937
307	0.08870390248
308	0.08868454487
309	0.08856427071
310	0.08844989517
311	0.08835447446
312	0.08825705544
313	0.08818415507
314	0.08806972541
315	0.08805087145
316	0.08796385039
317	0.0879454485
318	0.08782684643
319	0.08780889679
320	0.08769748491
321	0.08767206753
322	0.08759667032
323	0.08752095216
324	0.08746404879
325	0.08729226603
326	0.08718658536
327	0.08716387708
328	0.08704999957
329	0.08699026129
330	0.08692758805
331	0.08683989995
332	0.08673084899
333	0.08668945039
334	0.08667411976
335	0.08656484233
336	0.08653368855
337	0.08641125813
338	0.08632261759
339	0.0861911693
340	0.08608348691
341	0.08597186917
342	0.08591020751
343	0.08588533076
344	0.08578207923
345	0.08566238337
346	0.08564199283
347	0.08549513259
348	0.08547006076
349	0.08538901479
350	0.08532781995
351	0.08526355472
352	0.08524433796
353	0.08517106404
354	0.08506808647
355	0.08499755372
356	0.08490205302
357	0.08484345889
358	0.0847544246
359	0.08465707928
360	0.0845759534
361	0.0845221288
362	0.08446527024
363	0.08436880723
364	0.084316396
365	0.08421071285
366	0.08412758478
367	0.0840231649
368	0.08395859375
369	0.08390311541
370	0.08376655052
371	0.08369277303
372	0.0835771852
373	0.08350611521
374	0.08347376635
375	0.083401926
376	0.0833606056
377	0.08329780135
378	0.08321710038
379	0.08318443526
380	0.08313650009
381	0.08306874667
382	0.08305501487
383	0.08299489046
384	0.08288495137
385	0.08278161213
386	0.08271759661
387	0.0826429122
388	0.08255208075
389	0.08247609304
390	0.08241735168
391	0.08233826054
392	0.08222619407
393	0.08215198507
394	0.08205730928
395	0.0819839768
396	0.08193756797
397	0.08184526806
398	0.08173989345
399	0.08166662228
400	0.08159361375
401	0.08149862634
402	0.08143851894
403	0.08136250248
404	0.08135077032
405	0.08130005218
406	0.08124114627
407	0.08117053838
408	0.08115066277
409	0.0810870582
410	0.08103941101
411	0.080955587
412	0.08084584093
413	0.08079863028
414	0.08077943462
415	0.08064595821
416	0.08060096169
417	0.08059002765
418	0.08057139436
419	0.08055358091
420	0.08051277311
421	0.0804528192
422	0.08036989626
423	0.08031783442
424	0.08027692942
425	0.08019278793
426	0.08011328858
427	0.08006836286
428	0.08005187061
429	0.07998351851
430	0.07994359073
431	0.07989926061
432	0.07971753182
433	0.07966689736
434	0.07961794149
435	0.07956912918
436	0.07948172925
437	0.07946575812
438	0.07939704519
439	0.07937954147
440	0.07927610415
441	0.0791892011
442	0.07908686919
443	0.07896440802
444	0.07889947133
445	0.07883499301
446	0.07872164361
447	0.07867111036
448	0.07855501305
